😀,face | grin
👩‍⚕️,doctor | healthcare | nurse | therapist | woman
👩🏻‍⚕️,doctor | healthcare | light skin tone | nurse | therapist | woman
👩🏼‍⚕️,doctor | healthcare | medium-light skin tone | nurse | therapist | woman
👩🏽‍⚕️,doctor | healthcare | medium skin tone | nurse | therapist | woman
👩🏾‍⚕️,doctor | healthcare | medium-dark skin tone | nurse | therapist | woman
👩🏿‍⚕️,dark skin tone | doctor | healthcare | nurse | therapist | woman
👨‍🎓,graduate | man | student
👨🏻‍🎓,graduate | light skin tone | man | student
👨🏼‍🎓,graduate | man | medium-light skin tone | student
👨🏽‍🎓,graduate | man | medium skin tone | student
👨🏾‍🎓,graduate | man | medium-dark skin tone | student
👨🏿‍🎓,dark skin tone | graduate | man | student
👩‍🎓,graduate | student | woman
👩🏻‍🎓,graduate | light skin tone | student | woman
👩🏼‍🎓,graduate | medium-light skin tone | student | woman
👩🏽‍🎓,graduate | medium skin tone | student | woman
👩🏾‍🎓,graduate | medium-dark skin tone | student | woman
👩🏿‍🎓,dark skin tone | graduate | student | woman
👨‍🏫,instructor | man | professor | teacher
👨🏻‍🏫,instructor | light skin tone | man | professor | teacher
👨🏼‍🏫,instructor | man | medium-light skin tone | professor | teacher
👨🏽‍🏫,instructor | man | medium skin tone | professor | teacher
👨🏾‍🏫,instructor | man | medium-dark skin tone | professor | teacher
👨🏿‍🏫,dark skin tone | instructor | man | professor | teacher
👩‍🏫,instructor | professor | teacher | woman
👩🏻‍🏫,instructor | light skin tone | professor | teacher | woman
👩🏼‍🏫,instructor | medium-light skin tone | professor | teacher | woman
👩🏽‍🏫,instructor | medium skin tone | professor | teacher | woman
👩🏾‍🏫,instructor | medium-dark skin tone | professor | teacher | woman
👩🏿‍🏫,dark skin tone | instructor | professor | teacher | woman
👨‍⚖️,justice | man | scales
👨🏻‍⚖️,justice | light skin tone | man | scales
👨🏼‍⚖️,justice | man | medium-light skin tone | scales
👨🏽‍⚖️,justice | man | medium skin tone | scales
👨🏾‍⚖️,justice | man | medium-dark skin tone | scales
