😀,face | grin
🧚🏻‍♀️,Titania | light skin tone
🧚🏼‍♀️,Titania | medium-light skin tone
🧚🏽‍♀️,Titania | medium skin tone
🧚🏾‍♀️,Titania | medium-dark skin tone
🧚🏿‍♀️,Titania | dark skin tone
🧚‍♂️,Oberon | Puck
🧚🏻‍♂️,Oberon | Puck | light skin tone
🧚🏼‍♂️,Oberon | Puck | medium-light skin tone
🧚🏽‍♂️,Oberon | Puck | medium skin tone
🧚🏾‍♂️,Oberon | Puck | medium-dark skin tone
🧚🏿‍♂️,Oberon | Puck | dark skin tone
🧛,Dracula | undead
🧛🏻,Dracula | light skin tone | undead
🧛🏼,Dracula | medium-light skin tone | undead
🧛🏽,Dracula | medium skin tone | undead
🧛🏾,Dracula | medium-dark skin tone | undead
🧛🏿,Dracula | dark skin tone | undead
🧛‍♀️,undead
🧛🏻‍♀️,light skin tone | undead
🧛🏼‍♀️,medium-light skin tone | undead
🧛🏽‍♀️,medium skin tone | undead
🧛🏾‍♀️,medium-dark skin tone | undead
🧛🏿‍♀️,dark skin tone | undead
🧛‍♂️,Dracula | undead
🧛🏻‍♂️,Dracula | light skin tone | undead
🧛🏼‍♂️,Dracula | medium-light skin tone | undead
🧛🏽‍♂️,Dracula | medium skin tone | undead
🧛🏾‍♂️,Dracula | medium-dark skin tone | undead
🧛🏿‍♂️,Dracula | dark skin tone | undead
🧜,mermaid | merman | merwoman
🧜🏻,light skin tone | mermaid | merman | merwoman
🧜🏼,medium-light skin tone | mermaid | merman | merwoman
🧜🏽,medium skin tone | mermaid | merman | merwoman
🧜🏾,medium-dark skin tone | mermaid | merman | merwoman
🧜🏿,dark skin tone | mermaid | merman | merwoman
🧜‍♀️,merwoman
🧜🏻‍♀️,light skin tone | merwoman
🧜🏼‍♀️,medium-light skin tone | merwoman
🧜🏽‍♀️,medium skin tone | merwoman
🧜🏾‍♀️,medium-dark skin tone | merwoman
🧜🏿‍♀️,dark skin tone | merwoman
🧜‍♂️,
🧜🏻‍♂️,light skin tone
🧜🏼‍♂️,medium-light skin tone
🧜🏽‍♂️,medium skin tone
🧜🏾‍♂️,medium-dark skin tone
🧜🏿‍♂️,dark skin tone
🧝,<span class="keye">LOTR style</span>
🧝🏻,light skin tone
🧝🏼,medium-light skin tone
🧝🏽,medium skin tone
🧝🏾,medium-dark skin tone
🧝🏿,dark skin tone
🧝‍♀️,
🧝🏻‍♀️,light skin tone
🧝🏼‍♀️,medium-light skin tone
🧝🏽‍♀️,medium skin tone
🧝🏾‍♀️,medium-dark skin tone
🧝🏿‍♀️,dark skin tone
🧝‍♂️,
🧝🏻‍♂️,light skin tone
🧝🏼‍♂️,medium-light skin tone
🧝🏽‍♂️,medium skin tone
🧝🏾‍♂️,medium-dark skin tone
🧝🏿‍♂️,dark skin tone
🧞,djinn | <span class="keye">(non-human color)</span>
🧞‍♀️,djinn
🧞‍♂️,djinn
🧟,undead | walking dead | <span class="keye">(non-human color)</span>
🧟‍♀️,undead | walking dead
🧟‍♂️,undead | walking dead
🙍,frown | gesture
🙍🏻,frown | gesture | light skin tone
🙍🏼,frown | gesture | medium-light skin tone
🙍🏽,frown | gesture | medium skin tone
🙍🏾,frown | gesture | medium-dark skin tone
🙍🏿,dark skin tone | frown | gesture
🙍‍♂️,frowning | gesture | man
🙍🏻‍♂️,frowning | gesture | light skin tone | man
🙍🏼‍♂️,frowning | gesture | man | medium-light skin tone
🙍🏽‍♂️,frowning | gesture | man | medium skin tone
🙍🏾‍♂️,frowning | gesture | man | medium-dark skin tone
🙍🏿‍♂️,dark skin tone | frowning | gesture | man
🙍‍♀️,frowning | gesture | woman
🙍🏻‍♀️,frowning | gesture | light skin tone | woman
🙍🏼‍♀️,frowning | gesture | medium-light skin tone | woman
🙍🏽‍♀️,frowning | gesture | medium skin tone | woman
🙍🏾‍♀️,frowning | gesture | medium-dark skin tone | woman
🙍🏿‍♀️,dark skin tone | frowning | gesture | woman
🙎,gesture | pouting
🙎🏻,gesture | light skin tone | pouting
🙎🏼,gesture | medium-light skin tone | pouting
🙎🏽,gesture | medium skin tone | pouting
🙎🏾,gesture | medium-dark skin tone | pouting
🙎🏿,dark skin tone | gesture | pouting
🙎‍♂️,gesture | man | pouting
🙎🏻‍♂️,gesture | light skin tone | man | pouting
🙎🏼‍♂️,gesture | man | medium-light skin tone | pouting
🙎🏽‍♂️,gesture | man | medium skin tone | pouting
🙎🏾‍♂️,gesture | man | medium-dark skin tone | pouting
🙎🏿‍♂️,dark skin tone | gesture | man | pouting
🙎‍♀️,gesture | pouting | woman
🙎🏻‍♀️,gesture | light skin tone | pouting | woman
🙎🏼‍♀️,gesture | medium-light skin tone | pouting | woman
🙎🏽‍♀️,gesture | medium skin tone | pouting | woman
🙎🏾‍♀️,gesture | medium-dark skin tone | pouting | woman
🙎🏿‍♀️,dark skin tone | gesture | pouting | woman
🙅,forbidden | gesture | hand | no | not | prohibited
🙅🏻,forbidden | gesture | hand | light skin tone | no | not | prohibited
🙅🏼,forbidden | gesture | hand | medium-light skin tone | no | not | prohibited
🙅🏽,forbidden | gesture | hand | medium skin tone | no | not | prohibited
🙅🏾,forbidden | gesture | hand | medium-dark skin tone | no | not | prohibited
🙅🏿,dark skin tone | forbidden | gesture | hand | no | not | prohibited
🙅‍♂️,forbidden | gesture | hand | man | no | prohibited
🙅🏻‍♂️,forbidden | gesture | hand | light skin tone | man | no | prohibited
🙅🏼‍♂️,forbidden | gesture | hand | man | medium-light skin tone | no | prohibited
🙅🏽‍♂️,forbidden | gesture | hand | man | medium skin tone | no | prohibited
🙅🏾‍♂️,forbidden | gesture | hand | man | medium-dark skin tone | no | prohibited
🙅🏿‍♂️,dark skin tone | forbidden | gesture | hand | man | no | prohibited
🙅‍♀️,forbidden | gesture | hand | no | prohibited | woman
🙅🏻‍♀️,forbidden | gesture | hand | light skin tone | no | prohibited | woman
🙅🏼‍♀️,forbidden | gesture | hand | medium-light skin tone | no | prohibited | woman
🙅🏽‍♀️,forbidden | gesture | hand | medium skin tone | no | prohibited | woman
🙅🏾‍♀️,forbidden | gesture | hand | medium-dark skin tone | no | prohibited | woman
🙅🏿‍♀️,dark skin tone | forbidden | gesture | hand | no | prohibited | woman
🙆,OK | gesture | hand
🙆🏻,OK | gesture | hand | light skin tone
🙆🏼,OK | gesture | hand | medium-light skin tone
🙆🏽,OK | gesture | hand | medium skin tone
🙆🏾,OK | gesture | hand | medium-dark skin tone
🙆🏿,OK | dark skin tone | gesture | hand
🙆‍♂️,OK | gesture | hand | man
🙆🏻‍♂️,OK | gesture | hand | light skin tone | man
🙆🏼‍♂️,OK | gesture | hand | man | medium-light skin tone
🙆🏽‍♂️,OK | gesture | hand | man | medium skin tone
🙆🏾‍♂️,OK | gesture | hand | man | medium-dark skin tone
🙆🏿‍♂️,OK | dark skin tone | gesture | hand | man
🙆‍♀️,OK | gesture | hand | woman
🙆🏻‍♀️,OK | gesture | hand | light skin tone | woman
🙆🏼‍♀️,OK | gesture | hand | medium-light skin tone | woman
🙆🏽‍♀️,OK | gesture | hand | medium skin tone | woman
🙆🏾‍♀️,OK | gesture | hand | medium-dark skin tone | woman
🙆🏿‍♀️,OK | dark skin tone | gesture | hand | woman
💁,hand | help | information | sassy | tipping
💁🏻,hand | help | information | light skin tone | sassy | tipping
💁🏼,hand | help | information | medium-light skin tone | sassy | tipping
💁🏽,hand | help | information | medium skin tone | sassy | tipping
💁🏾,hand | help | information | medium-dark skin tone | sassy | tipping
💁🏿,dark skin tone | hand | help | information | sassy | tipping
💁‍♂️,man | sassy | tipping hand
💁🏻‍♂️,light skin tone | man | sassy | tipping hand
💁🏼‍♂️,man | medium-light skin tone | sassy | tipping hand
💁🏽‍♂️,man | medium skin tone | sassy | tipping hand
💁🏾‍♂️,man | medium-dark skin tone | sassy | tipping hand
💁🏿‍♂️,dark skin tone | man | sassy | tipping hand
💁‍♀️,sassy | tipping hand | woman
💁🏻‍♀️,light skin tone | sassy | tipping hand | woman
💁🏼‍♀️,medium-light skin tone | sassy | tipping hand | woman
💁🏽‍♀️,medium skin tone | sassy | tipping hand | woman
💁🏾‍♀️,medium-dark skin tone | sassy | tipping hand | woman
💁🏿‍♀️,dark skin tone | sassy | tipping hand | woman
🙋,gesture | hand | happy | raised
🙋🏻,gesture | hand | happy | light skin tone | raised
🙋🏼,gesture | hand | happy | medium-light skin tone | raised
🙋🏽,gesture | hand | happy | medium skin tone | raised
🙋🏾,gesture | hand | happy | medium-dark skin tone | raised
🙋🏿,dark skin tone | gesture | hand | happy | raised
🙋‍♂️,gesture | man | raising hand
🙋🏻‍♂️,gesture | light skin tone | man | raising hand
🙋🏼‍♂️,gesture | man | medium-light skin tone | raising hand
🙋🏽‍♂️,gesture | man | medium skin tone | raising hand
🙋🏾‍♂️,gesture | man | medium-dark skin tone | raising hand
🙋🏿‍♂️,dark skin tone | gesture | man | raising hand
🙋‍♀️,gesture | raising hand | woman
🙋🏻‍♀️,gesture | light skin tone | raising hand | woman
🙋🏼‍♀️,gesture | medium-light skin tone | raising hand | woman
🙋🏽‍♀️,gesture | medium skin tone | raising hand | woman
🙋🏾‍♀️,gesture | medium-dark skin tone | raising hand | woman
🙋🏿‍♀️,dark skin tone | gesture | raising hand | woman
🙇,apology | bow | gesture | sorry
🙇🏻,apology | bow | gesture | light skin tone | sorry
🙇🏼,apology | bow | gesture | medium-light skin tone | sorry
🙇🏽,apology | bow | gesture | medium skin tone | sorry
🙇🏾,apology | bow | gesture | medium-dark skin tone | sorry
🙇🏿,apology | bow | dark skin tone | gesture | sorry
🙇‍♂️,apology | bowing | favor | gesture | man | sorry
🙇🏻‍♂️,apology | bowing | favor | gesture | light skin tone | man | sorry
🙇🏼‍♂️,apology | bowing | favor | gesture | man | medium-light skin tone | sorry
🙇🏽‍♂️,apology | bowing | favor | gesture | man | medium skin tone | sorry
🙇🏾‍♂️,apology | bowing | favor | gesture | man | medium-dark skin tone | sorry
🙇🏿‍♂️,apology | bowing | dark skin tone | favor | gesture | man | sorry
🙇‍♀️,apology | bowing | favor | gesture | sorry | woman
🙇🏻‍♀️,apology | bowing | favor | gesture | light skin tone | sorry | woman
🙇🏼‍♀️,apology | bowing | favor | gesture | medium-light skin tone | sorry | woman
🙇🏽‍♀️,apology | bowing | favor | gesture | medium skin tone | sorry | woman
🙇🏾‍♀️,apology | bowing | favor | gesture | medium-dark skin tone | sorry | woman
🙇🏿‍♀️,apology | bowing | dark skin tone | favor | gesture | sorry | woman
🤦,disbelief | exasperation | face | palm
🤦🏻,disbelief | exasperation | face | light skin tone | palm
🤦🏼,disbelief | exasperation | face | medium-light skin tone | palm
🤦🏽,disbelief | exasperation | face | medium skin tone | palm
🤦🏾,disbelief | exasperation | face | medium-dark skin tone | palm
🤦🏿,dark skin tone | disbelief | exasperation | face | palm
🤦‍♂️,disbelief | exasperation | facepalm | man
🤦🏻‍♂️,disbelief | exasperation | facepalm | light skin tone | man
🤦🏼‍♂️,disbelief | exasperation | facepalm | man | medium-light skin tone
🤦🏽‍♂️,disbelief | exasperation | facepalm | man | medium skin tone
🤦🏾‍♂️,disbelief | exasperation | facepalm | man | medium-dark skin tone
🤦🏿‍♂️,dark skin tone | disbelief | exasperation | facepalm | man
🤦‍♀️,disbelief | exasperation | facepalm | woman
🤦🏻‍♀️,disbelief | exasperation | facepalm | light skin tone | woman
🤦🏼‍♀️,disbelief | exasperation | facepalm | medium-light skin tone | woman
🤦🏽‍♀️,disbelief | exasperation | facepalm | medium skin tone | woman
🤦🏾‍♀️,disbelief | exasperation | facepalm | medium-dark skin tone | woman
🤦🏿‍♀️,dark skin tone | disbelief | exasperation | facepalm | woman
🤷,doubt | ignorance | indifference | shrug
🤷🏻,doubt | ignorance | indifference | light skin tone | shrug
🤷🏼,doubt | ignorance | indifference | medium-light skin tone | shrug
🤷🏽,doubt | ignorance | indifference | medium skin tone | shrug
🤷🏾,doubt | ignorance | indifference | medium-dark skin tone | shrug
🤷🏿,dark skin tone | doubt | ignorance | indifference | shrug
🤷‍♂️,doubt | ignorance | indifference | man | shrug
🤷🏻‍♂️,doubt | ignorance | indifference | light skin tone | man | shrug
🤷🏼‍♂️,doubt | ignorance | indifference | man | medium-light skin tone | shrug
🤷🏽‍♂️,doubt | ignorance | indifference | man | medium skin tone | shrug
🤷🏾‍♂️,doubt | ignorance | indifference | man | medium-dark skin tone | shrug
🤷🏿‍♂️,dark skin tone | doubt | ignorance | indifference | man | shrug
🤷‍♀️,doubt | ignorance | indifference | shrug | woman
🤷🏻‍♀️,doubt | ignorance | indifference | light skin tone | shrug | woman
🤷🏼‍♀️,doubt | ignorance | indifference | medium-light skin tone | shrug | woman
🤷🏽‍♀️,doubt | ignorance | indifference | medium skin tone | shrug | woman
🤷🏾‍♀️,doubt | ignorance | indifference | medium-dark skin tone | shrug | woman
🤷🏿‍♀️,dark skin tone | doubt | ignorance | indifference | shrug | woman
💆,face | massage | salon
💆🏻,face | light skin tone | massage | salon
💆🏼,face | massage | medium-light skin tone | salon
💆🏽,face | massage | medium skin tone | salon
💆🏾,face | massage | medium-dark skin tone | salon
💆🏿,dark skin tone | face | massage | salon
💆‍♂️,face | man | massage
💆🏻‍♂️,face | light skin tone | man | massage
💆🏼‍♂️,face | man | massage | medium-light skin tone
💆🏽‍♂️,face | man | massage | medium skin tone
💆🏾‍♂️,face | man | massage | medium-dark skin tone
💆🏿‍♂️,dark skin tone | face | man | massage
💆‍♀️,face | massage | woman
💆🏻‍♀️,face | light skin tone | massage | woman
💆🏼‍♀️,face | massage | medium-light skin tone | woman
💆🏽‍♀️,face | massage | medium skin tone | woman
💆🏾‍♀️,face | massage | medium-dark skin tone | woman
💆🏿‍♀️,dark skin tone | face | massage | woman
💇,barber | beauty | haircut | parlor
💇🏻,barber | beauty | haircut | light skin tone | parlor
💇🏼,barber | beauty | haircut | medium-light skin tone | parlor
💇🏽,barber | beauty | haircut | medium skin tone | parlor
💇🏾,barber | beauty | haircut | medium-dark skin tone | parlor
💇🏿,barber | beauty | dark skin tone | haircut | parlor
💇‍♂️,haircut | man
💇🏻‍♂️,haircut | light skin tone | man
💇🏼‍♂️,haircut | man | medium-light skin tone
💇🏽‍♂️,haircut | man | medium skin tone
💇🏾‍♂️,haircut | man | medium-dark skin tone
💇🏿‍♂️,dark skin tone | haircut | man
💇‍♀️,haircut | woman
💇🏻‍♀️,haircut | light skin tone | woman
💇🏼‍♀️,haircut | medium-light skin tone | woman
💇🏽‍♀️,haircut | medium skin tone | woman
💇🏾‍♀️,haircut | medium-dark skin tone | woman
💇🏿‍♀️,dark skin tone | haircut | woman
🚶,hike | walk | walking
🚶🏻,hike | light skin tone | walk | walking
🚶🏼,hike | medium-light skin tone | walk | walking
🚶🏽,hike | medium skin tone | walk | walking
🚶🏾,hike | medium-dark skin tone | walk | walking
🚶🏿,dark skin tone | hike | walk | walking
🚶‍♂️,hike | man | walk
🚶🏻‍♂️,hike | light skin tone | man | walk
🚶🏼‍♂️,hike | man | medium-light skin tone | walk
🚶🏽‍♂️,hike | man | medium skin tone | walk
🚶🏾‍♂️,hike | man | medium-dark skin tone | walk
🚶🏿‍♂️,dark skin tone | hike | man | walk
🚶‍♀️,hike | walk | woman
🚶🏻‍♀️,hike | light skin tone | walk | woman
🚶🏼‍♀️,hike | medium-light skin tone | walk | woman
🚶🏽‍♀️,hike | medium skin tone | walk | woman
🚶🏾‍♀️,hike | medium-dark skin tone | walk | woman
🚶🏿‍♀️,dark skin tone | hike | walk | woman
🏃,marathon | running
🏃🏻,light skin tone | marathon | running
🏃🏼,marathon | medium-light skin tone | running
🏃🏽,marathon | medium skin tone | running
🏃🏾,marathon | medium-dark skin tone | running
🏃🏿,dark skin tone | marathon | running
🏃‍♂️,man | marathon | racing | running
🏃🏻‍♂️,light skin tone | man | marathon | racing | running
🏃🏼‍♂️,man | marathon | medium-light skin tone | racing | running
🏃🏽‍♂️,man | marathon | medium skin tone | racing | running
🏃🏾‍♂️,man | marathon | medium-dark skin tone | racing | running
🏃🏿‍♂️,dark skin tone | man | marathon | racing | running
🏃‍♀️,marathon | racing | running | woman
🏃🏻‍♀️,light skin tone | marathon | racing | running | woman
🏃🏼‍♀️,marathon | medium-light skin tone | racing | running | woman
🏃🏽‍♀️,marathon | medium skin tone | racing | running | woman
🏃🏾‍♀️,marathon | medium-dark skin tone | racing | running | woman
🏃🏿‍♀️,dark skin tone | marathon | racing | running | woman
💃,dancing | woman
💃🏻,dancing | light skin tone | woman
💃🏼,dancing | medium-light skin tone | woman
💃🏽,dancing | medium skin tone | woman
💃🏾,dancing | medium-dark skin tone | woman
💃🏿,dancing | dark skin tone | woman
🕺,dance | man
🕺🏻,dance | light skin tone | man
🕺🏼,dance | man | medium-light skin tone
🕺🏽,dance | man | medium skin tone
🕺🏾,dance | man | medium-dark skin tone
🕺🏿,dance | dark skin tone | man
👯,bunny ear | dancer | partying
👯‍♂️,bunny ear | dancer | men | partying
👯‍♀️,bunny ear | dancer | partying | women
🧖,sauna | steam room | <span class="keye">hamam</span> | <span class="keye">steambath</span>
🧖🏻,light skin tone | sauna | steam room
🧖🏼,medium-light skin tone | sauna | steam room
🧖🏽,medium skin tone | sauna | steam room
🧖🏾,medium-dark skin tone | sauna | steam room
🧖🏿,dark skin tone | sauna | steam room
🧖‍♀️,sauna | steam room
🧖🏻‍♀️,light skin tone | sauna | steam room
🧖🏼‍♀️,medium-light skin tone | sauna | steam room
🧖🏽‍♀️,medium skin tone | sauna | steam room
🧖🏾‍♀️,medium-dark skin tone | sauna | steam room
🧖🏿‍♀️,dark skin tone | sauna | steam room
🧖‍♂️,sauna | steam room
🧖🏻‍♂️,light skin tone | sauna | steam room
🧖🏼‍♂️,medium-light skin tone | sauna | steam room
🧖🏽‍♂️,medium skin tone | sauna | steam room
🧖🏾‍♂️,medium-dark skin tone | sauna | steam room
🧖🏿‍♂️,dark skin tone | sauna | steam room
🧗,
🧗🏻,light skin tone
🧗🏼,medium-light skin tone
🧗🏽,medium skin tone
🧗🏾,medium-dark skin tone
🧗🏿,dark skin tone
🧗‍♀️,
🧗🏻‍♀️,light skin tone
🧗🏼‍♀️,medium-light skin tone
🧗🏽‍♀️,medium skin tone
🧗🏾‍♀️,medium-dark skin tone
🧗🏿‍♀️,dark skin tone
🧗‍♂️,
🧗🏻‍♂️,light skin tone
🧗🏼‍♂️,medium-light skin tone
🧗🏽‍♂️,medium skin tone
🧗🏾‍♂️,medium-dark skin tone
🧗🏿‍♂️,dark skin tone
🧘,meditation | yoga | <span class="keye">serenity</span>
🧘🏻,light skin tone | meditation | yoga
🧘🏼,meditation | medium-light skin tone | yoga
🧘🏽,meditation | medium skin tone | yoga
🧘🏾,meditation | medium-dark skin tone | yoga
🧘🏿,dark skin tone | meditation | yoga
🧘‍♀️,meditation | yoga
🧘🏻‍♀️,light skin tone | meditation | yoga
🧘🏼‍♀️,meditation | medium-light skin tone | yoga
🧘🏽‍♀️,meditation | medium skin tone | yoga
🧘🏾‍♀️,meditation | medium-dark skin tone | yoga
🧘🏿‍♀️,dark skin tone | meditation | yoga
🧘‍♂️,meditation | yoga
🧘🏻‍♂️,light skin tone | meditation | yoga
🧘🏼‍♂️,meditation | medium-light skin tone | yoga
🧘🏽‍♂️,meditation | medium skin tone | yoga
🧘🏾‍♂️,meditation | medium-dark skin tone | yoga
🧘🏿‍♂️,dark skin tone | meditation | yoga
🛀,bath | bathtub
🛀🏻,bath | bathtub | light skin tone
🛀🏼,bath | bathtub | medium-light skin tone
🛀🏽,bath | bathtub | medium skin tone
🛀🏾,bath | bathtub | medium-dark skin tone
🛀🏿,bath | bathtub | dark skin tone
🛌,hotel | sleep
🛌🏻,hotel | light skin tone | sleep
🛌🏼,hotel | medium-light skin tone | sleep
🛌🏽,hotel | medium skin tone | sleep
🛌🏾,hotel | medium-dark skin tone | sleep
🛌🏿,dark skin tone | hotel | sleep
🕴,business | man | suit
🕴🏻,business | light skin tone | man | suit
🕴🏼,business | man | medium-light skin tone | suit
🕴🏽,business | man | medium skin tone | suit
🕴🏾,business | man | medium-dark skin tone | suit
🕴🏿,business | dark skin tone | man | suit
🗣,face | head | silhouette | speak | speaking
👤,bust | silhouette
👥,bust | silhouette
🤺,fencer | fencing | sword
🏇,horse | jockey | racehorse | racing
🏇🏻,horse | jockey | light skin tone | racehorse | racing
🏇🏼,horse | jockey | medium-light skin tone | racehorse | racing
🏇🏽,horse | jockey | medium skin tone | racehorse | racing
🏇🏾,horse | jockey | medium-dark skin tone | racehorse | racing
🏇🏿,dark skin tone | horse | jockey | racehorse | racing
⛷,ski | snow
🏂,ski | snow | snowboard
🏂🏻,light skin tone | ski | snow | snowboard
🏂🏼,medium-light skin tone | ski | snow | snowboard
🏂🏽,medium skin tone | ski | snow | snowboard
🏂🏾,medium-dark skin tone | ski | snow | snowboard
🏂🏿,dark skin tone | ski | snow | snowboard
🏌,ball | golf
🏌🏻,ball | golf | light skin tone
🏌🏼,ball | golf | medium-light skin tone
🏌🏽,ball | golf | medium skin tone
🏌🏾,ball | golf | medium-dark skin tone
🏌🏿,ball | dark skin tone | golf
🏌️‍♂️,golf | man
🏌🏻‍♂️,golf | light skin tone | man
🏌🏼‍♂️,golf | man | medium-light skin tone
🏌🏽‍♂️,golf | man | medium skin tone
🏌🏾‍♂️,golf | man | medium-dark skin tone
🏌🏿‍♂️,dark skin tone | golf | man
🏌️‍♀️,golf | woman
🏌🏻‍♀️,golf | light skin tone | woman
🏌🏼‍♀️,golf | medium-light skin tone | woman
🏌🏽‍♀️,golf | medium skin tone | woman
🏌🏾‍♀️,golf | medium-dark skin tone | woman
🏌🏿‍♀️,dark skin tone | golf | woman
🏄,surfing
🏄🏻,light skin tone | surfing
🏄🏼,medium-light skin tone | surfing
🏄🏽,medium skin tone | surfing
🏄🏾,medium-dark skin tone | surfing
🏄🏿,dark skin tone | surfing
🏄‍♂️,man | surfing
🏄🏻‍♂️,light skin tone | man | surfing
🏄🏼‍♂️,man | medium-light skin tone | surfing
🏄🏽‍♂️,man | medium skin tone | surfing
🏄🏾‍♂️,man | medium-dark skin tone | surfing
🏄🏿‍♂️,dark skin tone | man | surfing
🏄‍♀️,surfing | woman
🏄🏻‍♀️,light skin tone | surfing | woman
🏄🏼‍♀️,medium-light skin tone | surfing | woman
🏄🏽‍♀️,medium skin tone | surfing | woman
🏄🏾‍♀️,medium-dark skin tone | surfing | woman
🏄🏿‍♀️,dark skin tone | surfing | woman
🚣,boat | rowboat
🚣🏻,boat | light skin tone | rowboat
🚣🏼,boat | medium-light skin tone | rowboat
🚣🏽,boat | medium skin tone | rowboat
🚣🏾,boat | medium-dark skin tone | rowboat
🚣🏿,boat | dark skin tone | rowboat
🚣‍♂️,boat | man | rowboat
🚣🏻‍♂️,boat | light skin tone | man | rowboat
🚣🏼‍♂️,boat | man | medium-light skin tone | rowboat
🚣🏽‍♂️,boat | man | medium skin tone | rowboat
🚣🏾‍♂️,boat | man | medium-dark skin tone | rowboat
🚣🏿‍♂️,boat | dark skin tone | man | rowboat
🚣‍♀️,boat | rowboat | woman
🚣🏻‍♀️,boat | light skin tone | rowboat | woman
🚣🏼‍♀️,boat | medium-light skin tone | rowboat | woman
🚣🏽‍♀️,boat | medium skin tone | rowboat | woman
🚣🏾‍♀️,boat | medium-dark skin tone | rowboat | woman
🚣🏿‍♀️,boat | dark skin tone | rowboat | woman
🏊,swim
🏊🏻,light skin tone | swim
🏊🏼,medium-light skin tone | swim
🏊🏽,medium skin tone | swim
🏊🏾,medium-dark skin tone | swim
🏊🏿,dark skin tone | swim
🏊‍♂️,man | swim
🏊🏻‍♂️,light skin tone | man | swim
🏊🏼‍♂️,man | medium-light skin tone | swim
🏊🏽‍♂️,man | medium skin tone | swim
🏊🏾‍♂️,man | medium-dark skin tone | swim
🏊🏿‍♂️,dark skin tone | man | swim
🏊‍♀️,swim | woman
🏊🏻‍♀️,light skin tone | swim | woman
🏊🏼‍♀️,medium-light skin tone | swim | woman
🏊🏽‍♀️,medium skin tone | swim | woman
🏊🏾‍♀️,medium-dark skin tone | swim | woman
🏊🏿‍♀️,dark skin tone | swim | woman
⛹,ball
⛹🏻,ball | light skin tone
⛹🏼,ball | medium-light skin tone
⛹🏽,ball | medium skin tone
⛹🏾,ball | medium-dark skin tone
⛹🏿,ball | dark skin tone
⛹️‍♂️,ball | man
⛹🏻‍♂️,ball | light skin tone | man
⛹🏼‍♂️,ball | man | medium-light skin tone
⛹🏽‍♂️,ball | man | medium skin tone
⛹🏾‍♂️,ball | man | medium-dark skin tone
⛹🏿‍♂️,ball | dark skin tone | man
⛹️‍♀️,ball | woman
⛹🏻‍♀️,ball | light skin tone | woman
⛹🏼‍♀️,ball | medium-light skin tone | woman
⛹🏽‍♀️,ball | medium skin tone | woman
⛹🏾‍♀️,ball | medium-dark skin tone | woman
⛹🏿‍♀️,ball | dark skin tone | woman
🏋,lifter | weight
🏋🏻,lifter | light skin tone | weight
🏋🏼,lifter | medium-light skin tone | weight
🏋🏽,lifter | medium skin tone | weight
🏋🏾,lifter | medium-dark skin tone | weight
🏋🏿,dark skin tone | lifter | weight
🏋️‍♂️,man | weight lifter
🏋🏻‍♂️,light skin tone | man | weight lifter
🏋🏼‍♂️,man | medium-light skin tone | weight lifter
🏋🏽‍♂️,man | medium skin tone | weight lifter
🏋🏾‍♂️,man | medium-dark skin tone | weight lifter
🏋🏿‍♂️,dark skin tone | man | weight lifter
🏋️‍♀️,weight lifter | woman
🏋🏻‍♀️,light skin tone | weight lifter | woman
🏋🏼‍♀️,medium-light skin tone | weight lifter | woman
🏋🏽‍♀️,medium skin tone | weight lifter | woman
🏋🏾‍♀️,medium-dark skin tone | weight lifter | woman
🏋🏿‍♀️,dark skin tone | weight lifter | woman
🚴,bicycle | biking | cyclist
🚴🏻,bicycle | biking | cyclist | light skin tone
🚴🏼,bicycle | biking | cyclist | medium-light skin tone
🚴🏽,bicycle | biking | cyclist | medium skin tone
🚴🏾,bicycle | biking | cyclist | medium-dark skin tone
🚴🏿,bicycle | biking | cyclist | dark skin tone
🚴‍♂️,bicycle | biking | cyclist | man
🚴🏻‍♂️,bicycle | biking | cyclist | light skin tone | man
🚴🏼‍♂️,bicycle | biking | cyclist | man | medium-light skin tone
🚴🏽‍♂️,bicycle | biking | cyclist | man | medium skin tone
🚴🏾‍♂️,bicycle | biking | cyclist | man | medium-dark skin tone
🚴🏿‍♂️,bicycle | biking | cyclist | dark skin tone | man
🚴‍♀️,bicycle | biking | cyclist | woman
🚴🏻‍♀️,bicycle | biking | cyclist | light skin tone | woman
🚴🏼‍♀️,bicycle | biking | cyclist | medium-light skin tone | woman
🚴🏽‍♀️,bicycle | biking | cyclist | medium skin tone | woman
🚴🏾‍♀️,bicycle | biking | cyclist | medium-dark skin tone | woman
🚴🏿‍♀️,bicycle | biking | cyclist | dark skin tone | woman
🚵,bicycle | bicyclist | bike | cyclist | mountain
🚵🏻,bicycle | bicyclist | bike | cyclist | light skin tone | mountain
🚵🏼,bicycle | bicyclist | bike | cyclist | medium-light skin tone | mountain
🚵🏽,bicycle | bicyclist | bike | cyclist | medium skin tone | mountain
🚵🏾,bicycle | bicyclist | bike | cyclist | medium-dark skin tone | mountain
🚵🏿,bicycle | bicyclist | bike | cyclist | dark skin tone | mountain
🚵‍♂️,bicycle | bike | cyclist | man | mountain
🚵🏻‍♂️,bicycle | bike | cyclist | light skin tone | man | mountain
🚵🏼‍♂️,bicycle | bike | cyclist | man | medium-light skin tone | mountain
🚵🏽‍♂️,bicycle | bike | cyclist | man | medium skin tone | mountain
🚵🏾‍♂️,bicycle | bike | cyclist | man | medium-dark skin tone | mountain
🚵🏿‍♂️,bicycle | bike | cyclist | dark skin tone | man | mountain
